pl_name,sy_mnum,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_rvamp
CoRoT-13 b,0,2010,4.03519000,9.920,415.70400,2.340000,157.800
CoRoT-14 b,0,2010,1.51214000,12.220,2415.40000,7.300000,1230.000
CoRoT-16 b,0,2011,5.35227000,13.110,170.03200,0.440000,61.960
CoRoT-17 b,0,2011,3.76810000,11.430,772.29000,2.820000,312.400
CoRoT-18 b,0,2011,1.90006930,14.680,1102.82000,2.200000,590.000
CoRoT-19 b,0,2011,3.89713000,14.460,352.78000,0.710000,126.000
CoRoT-2 b,0,2008,1.74299350,16.432,1102.82000,1.470000,603.000
CoRoT-20 b,0,2011,9.24285000,9.416,1366.66900,8.870000,467.000
CoRoT-20 c,0,2018,1675.00000000,12.200,5403.11000,16.400000,326.000
CoRoT-21 b,0,2012,2.72474000,14.572,718.29580,1.360000,274.000
CoRoT-22 b,0,2014,9.75598000,4.880,12.20000,0.249000,3.700
CoRoT-23 b,0,2011,3.63130000,11.770,889.90000,3.000000,377.000
CoRoT-24 b,0,2014,5.11340000,3.700,5.70000,0.900000,2.100
CoRoT-24 c,0,2014,11.75900000,5.000,28.00000,1.300000,8.300
CoRoT-25 b,0,2013,4.86069000,12.110,85.81000,0.150000,29.000
CoRoT-26 b,0,2013,4.20474000,14.120,165.26000,0.280000,61.000
CoRoT-27 b,0,2014,3.57532000,11.287,3302.11000,12.600000,1326.000
CoRoT-28 b,0,2015,5.20851000,10.705,153.82972,0.690000,56.400
CoRoT-29 b,0,2015,2.85057000,10.088,270.15550,1.450000,125.000
CoRoT-3 b,0,2008,4.25680000,11.320,6883.91000,26.400000,2173.000
CoRoT-30 b,0,2020,9.06005000,11.310,921.70700,3.450000,283.000
CoRoT-31 b,0,2020,4.62941000,16.365,266.97720,0.330000,88.000
CoRoT-35 b,0,2022,3.22748000,18.831,349.61125,0.290000,150.000
CoRoT-36 b,0,2022,5.61653100,15.805,216.12332,0.250000,65.000
CoRoT-4 b,0,2008,9.20205000,13.340,228.83000,0.525000,63.000
CoRoT-5 b,0,2009,4.03789620,15.558,148.42000,0.217000,59.100
CoRoT-6 b,0,2009,8.88659300,13.068,940.74000,2.320000,280.000
CoRoT-7 b,0,2009,0.85359163,1.681,4.07661,9.355000,3.100
CoRoT-7 c,0,2009,3.69800000,2.830,8.40000,2.040000,4.000
CoRoT-7 d,0,2022,8.96600000,4.310,17.14200,1.180000,5.525
CoRoT-8 b,0,2010,6.21229000,6.390,69.92000,1.600000,26.000
CoRoT-9 b,0,2009,95.27265600,11.949,266.97720,0.860000,39.000
CoRoTID 223977153 b,0,2017,6.71837000,6.389,47.67450,1.100000,14.000
DE CVn b,0,2018,4098.10000000,12.400,3823.27330,11.000000,
DENIS-P J082303.1-491201 b,0,2013,246.36000000,11.900,9057.77000,29.500000,
DH Tau b,0,2004,,30.264,3496.00000,0.693000,
DMPP-1 b,0,2019,18.57000000,5.290,24.27000,0.901000,5.162
DMPP-1 c,0,2019,6.58400000,3.060,9.60000,1.840000,2.884
DMPP-1 d,0,2019,2.88200000,1.650,3.35000,4.100000,1.326
DMPP-1 e,0,2019,5.51600000,1.860,4.13000,3.530000,1.316
DMPP-2 b,0,2019,5.20720000,14.300,138.89171,0.261000,40.260
DMPP-3 A b,0,2019,6.67320000,1.410,2.58000,5.060000,0.970
DP Leo b,0,2009,10220.00000000,12.700,1995.88832,5.350000,
DS Tuc A b,0,2019,8.13826800,5.700,413.17900,,
EPIC 201170410.02,0,2020,6.79870000,1.047,1.15000,5.510000,
EPIC 201238110 b,0,2019,28.16560000,1.870,4.16000,3.500000,
EPIC 201427007 b,0,2021,0.72091000,1.500,2.86000,4.660000,
EPIC 201497682 b,0,2019,2.13174000,0.692,0.26000,4.310000,
EPIC 201595106 b,0,2021,0.87721400,1.300,2.24000,5.600000,
EPIC 201615463 c,0,2019,3.80464000,1.220,1.98000,5.990000,
EPIC 201754305 d,0,2019,2.71578000,1.030,1.08000,5.430000,
EPIC 201757695.02,0,2020,2.04780000,0.908,0.68800,5.050000,
EPIC 201833600 c,0,2019,3.96151000,1.000,0.97200,5.340000,
EPIC 201841433 b,0,2019,4.16980000,1.040,1.12000,5.470000,
EPIC 205950854 c,0,2019,8.05072200,1.310,2.27000,5.550000,
EPIC 206024342 b,0,2019,4.50756000,1.700,3.53000,3.950000,
EPIC 206024342 c,0,2021,0.91172400,1.400,2.54000,5.090000,
EPIC 206024342 d,0,2021,14.64753100,2.600,7.27000,2.270000,
EPIC 206032309 b,0,2019,2.87814000,1.010,1.01000,5.390000,
EPIC 206042996 b,0,2019,5.29860000,1.700,3.53000,3.950000,
EPIC 206042996 c,0,2021,0.35488400,1.200,1.87000,5.950000,
EPIC 206215704 b,0,2019,2.25543600,1.000,0.97200,5.340000,
EPIC 206317286 b,0,2019,1.58252000,0.960,0.84000,5.220000,
EPIC 206317286 c,0,2022,17.51547200,2.094,5.03000,3.010000,
EPIC 211822797 b,0,2016,21.17019630,1.920,4.35000,3.380000,
EPIC 211945201 b,0,2018,19.49221000,5.760,27.00000,0.650000,5.700
EPIC 212297394 b,0,2019,2.28936300,1.480,2.79000,4.730000,
EPIC 212297394 c,0,2016,5.21396500,2.270,5.77000,2.710000,
EPIC 212424622 b,0,2019,18.09830000,2.170,5.35000,2.880000,
EPIC 212499991 b,0,2019,34.88500000,1.600,3.19000,4.280000,
EPIC 212587672 b,0,2019,15.28078000,1.260,2.13000,5.850000,
EPIC 212587672 c,0,2016,23.22855500,2.320,5.99000,2.640000,
EPIC 212624936 b,0,2021,0.57865700,1.200,1.87000,5.950000,
EPIC 212624936 c,0,2021,11.81143700,2.300,5.90000,2.660000,
